,Unnamed: 0,Name,Position,Club,Division,Based,Nation,Height,Weight,Age,Preferred Foot,Best Pos,Best Role,Value,Wage,CA,PA,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc
256,256,Federico Valverde,"DM, M (C)",R. Madrid,Spanish First Division,Spain (First Division),URU,181,74,20,Right,DM,DLP,28500000,51000,150,165,16,14,2,14,17,13,15,16,2,1,3,15,6,14,13,4,14,14,12,10,12,13,2,12,13,1,13,14,14,11,3,12,14,13,13,13,13,12,1,2,15,15,12,13,12,3,14
257,257,Fernandinho,"D (C), DM, M (C)",Man City,English Premier Division,England (Premier Division),BRA,179,67,34,Right,M (C),MEZ,11250000,180000,165,165,18,13,2,16,17,14,14,14,1,3,3,13,15,15,13,2,15,15,13,6,13,14,2,11,13,2,10,10,15,11,2,13,16,17,9,10,18,15,1,3,16,14,14,15,15,1,13
258,258,Fernando Llorente,ST (C),Napoli,Italian Serie A,Italy (Serie A),ESP,193,90,34,Either,ST (C),TM,2700000,63000,143,165,15,13,3,15,18,9,17,12,2,2,4,10,14,13,10,1,14,14,8,5,11,14,3,18,18,2,6,14,14,13,2,11,13,15,10,7,15,15,3,2,13,18,15,10,10,2,9
259,259,Ferran Torres,M/AM (R),Man City,English Premier Division,England (Premier Division),ESP,180,75,19,Right,AM (R),W,20000000,66000,140,165,11,12,2,14,12,7,11,12,3,1,3,9,10,13,15,3,14,12,6,8,12,10,3,11,11,3,12,15,13,14,3,15,14,12,13,12,8,11,3,3,9,12,11,14,10,1,17
260,260,Geoffrey Kondogbia,"DM, M (C)",A. Madrid,Spanish First Division,Spain (First Division),CTA,188,80,26,Left Only,M (C),BBM,21500000,105000,146,165,14,13,3,16,14,16,16,16,2,2,2,14,9,15,14,3,13,15,12,7,16,8,2,14,14,3,8,14,15,12,1,15,13,12,11,8,10,12,1,2,16,16,14,13,16,1,14
261,261,Henrikh Mkhitaryan,AM (RLC),Roma,Italian Serie A,Italy (Serie A),ARM,178,72,30,Right,AM (C),AP,44500000,180000,147,165,14,15,2,16,15,9,9,13,3,1,2,5,11,14,14,3,17,13,4,6,13,10,1,8,6,1,12,14,15,12,1,15,12,13,12,11,9,13,2,1,10,12,15,16,16,2,15
262,262,Ismaily,D/WB (L),Shakhtar,Ukrainian Premier League,Ukraine (Premier League),BRA,177,82,29,Left Only,D (L),WB,12750000,21000,148,165,17,12,2,14,15,13,12,15,3,1,3,11,12,13,16,1,15,18,11,10,14,9,2,8,11,3,13,13,14,9,1,17,15,13,16,11,12,13,2,2,11,14,13,13,11,2,16
263,263,Jan Vertonghen,D (LC),SLB,Portuguese Premier League,Portugal (Premier League),BEL,189,88,32,Left,D (C),BPD,20500000,76000,150,165,13,11,2,15,15,16,16,12,2,2,2,16,10,14,10,3,11,15,14,12,10,14,1,15,16,2,11,12,15,8,3,13,15,15,11,7,15,16,3,2,14,13,15,12,14,3,9
264,264,Javi MartÃ­nez,"D (C), DM, M (C)",FC Bayern,Bundesliga,Germany (Bundesliga),ESP,190,86,30,Right,DM,A,22500000,99000,149,165,12,12,2,14,18,16,16,13,2,3,2,16,11,13,10,3,10,14,14,8,10,14,3,16,13,2,7,9,14,11,2,9,15,15,10,7,15,16,2,2,14,15,18,9,11,2,8
265,265,JoÃ£o Cancelo,D/WB/M/AM (R),Man City,English Premier Division,England (Premier Division),POR,182,74,25,Right,WB (R),CWB,50000000,140000,158,165,13,14,1,16,12,13,12,14,3,2,2,8,11,15,16,2,15,15,9,13,12,7,2,11,10,3,12,18,15,11,1,17,10,9,15,12,10,12,3,2,12,14,14,16,12,3,16
266,266,Jordan Pickford,GK,Everton,English Premier Division,England (Premier Division),ENG,187,77,25,Left,GK,SK,24000000,120000,146,165,11,13,12,14,10,1,13,13,12,16,9,14,1,10,8,15,3,9,3,2,2,14,16,14,8,14,13,3,11,1,11,2,14,12,2,10,14,11,16,15,15,12,14,16,16,14,8
267,267,Laurent Koscielny,D (C),Bordeaux,Ligue 1 Conforama,France (Ligue 1 Conforama),FRA,186,75,33,Right,D (C),BPD,4400000,47500,146,165,15,10,3,12,16,17,14,14,1,3,1,15,5,12,11,1,10,14,16,4,4,16,3,14,17,1,3,5,13,6,2,6,16,14,5,2,14,16,3,3,16,14,17,12,15,2,11
268,268,Lucas Torreira,"DM, M (C)",A. Madrid,Spanish First Division,Spain (First Division),URU,168,64,23,Right,M (C),DLP,29500000,75000,145,165,17,13,1,14,18,15,9,16,3,1,2,15,11,14,12,2,12,13,14,5,12,11,2,6,6,2,12,14,16,8,1,13,14,14,11,11,14,15,3,4,15,13,15,15,16,3,15
269,269,Marco Asensio,AM (RLC),R. Madrid,Spanish First Division,Spain (First Division),ESP,182,76,23,Left,AM (L),W,42500000,140000,151,165,12,15,3,18,12,8,11,14,3,1,2,9,14,16,15,1,12,15,5,7,18,9,3,10,8,3,15,17,17,16,3,16,15,13,15,15,10,14,3,1,10,11,14,14,9,1,14
270,270,Mario Balotelli,ST (C),Brescia,Italian Serie B,Italy (Serie B),ITA,189,88,28,Right,ST (C),CF,13000000,46000,144,165,6,13,2,16,7,5,16,12,1,2,1,4,19,13,14,3,13,13,3,5,17,8,3,14,15,3,15,15,15,15,3,15,10,12,13,11,6,15,3,2,13,16,14,13,7,3,13
271,271,Mario GÃ¶tze,"M/AM (C), ST (C)",PSV,Eredivisie,Holland (Eredivisie),GER,176,75,27,Right,AM (C),AP,22000000,36500,147,165,11,18,1,18,15,9,8,12,3,2,1,10,10,14,10,2,11,9,7,5,13,6,3,7,8,3,10,15,18,13,3,16,8,18,12,12,13,14,4,1,8,13,16,15,10,1,12
272,272,Maxi RodrÃ­guez,"M (RL), AM (RLC)",Newell's,Argentine Premier Division,Argentina (Premier Division),ARG,180,74,38,Right,M (L),WP,250000,5000,126,165,8,15,3,14,13,11,12,10,2,2,3,11,15,14,10,1,15,14,9,14,14,16,1,8,11,1,14,12,14,14,2,13,15,15,13,14,10,14,2,3,12,13,15,10,14,1,10
273,273,Mohamed Sissoko,"DM, M (C)",Unknown,Unknown,France,MLI,191,85,34,Right,DM,A,0,0,102,165,8,11,3,15,14,15,15,10,2,3,1,12,6,14,7,2,10,10,14,9,7,13,3,14,15,1,5,8,13,5,2,11,15,12,7,3,14,11,3,2,15,11,13,8,16,3,6
274,274,Myron Boadu,"AM (RL), ST (C)",AZ,Eredivisie,Holland (Eredivisie),NED,180,71,18,Either,ST (C),AF,23000000,4800,141,165,12,10,1,13,8,5,12,12,3,3,2,4,11,12,16,3,14,13,4,3,7,5,3,14,9,1,5,12,14,13,3,12,14,10,8,6,10,13,3,2,11,14,14,14,13,1,17
275,275,Nani,AM (RLC),Orlando City,Major League Soccer,U.S.A. (MLS),POR,178,67,32,Either,AM (L),IW,2400000,37000,140,165,8,15,1,17,9,8,12,11,1,2,2,7,13,15,13,2,14,15,7,5,14,10,1,8,6,3,14,20,16,13,2,16,14,13,14,13,9,13,1,4,10,12,9,14,11,1,13
276,276,Nemanja Matic,"DM, M (C)",Man Utd,English Premier Division,England (Premier Division),SRB,194,85,30,Left,M (C),CM,14500000,120000,137,165,13,13,2,15,17,16,17,14,3,2,1,15,12,15,9,3,8,15,13,10,14,12,2,16,16,2,10,4,14,8,1,11,13,15,11,10,15,16,1,1,14,19,15,7,12,3,7
277,277,Niklas SÃ¼le,D (C),FC Bayern,Bundesliga,Germany (Bundesliga),GER,194,91,23,Right,D (C),CD,51000000,49500,155,165,8,10,1,10,12,15,18,13,1,3,3,15,9,12,17,3,6,11,15,9,11,12,3,17,16,3,7,6,10,8,2,7,15,15,6,4,17,14,4,3,16,18,14,9,6,3,12
278,278,Pablo Fornals,"DM, M/AM (C)",West Ham,English Premier Division,England (Premier Division),ESP,178,67,23,Right,AM (C),AP,27500000,80000,142,165,9,15,2,15,13,14,11,14,2,1,3,12,9,16,12,2,14,14,12,7,12,11,2,9,8,2,12,15,16,12,1,13,14,13,14,9,12,13,2,3,8,12,14,15,15,4,12
279,279,Pedrinho,AM (RC),Corinthians,Brazilian National First Division,Brazil (First Division),BRA,172,65,21,Left,AM (R),IW,5250000,8000,131,165,9,14,3,17,14,5,6,11,3,2,3,7,11,14,13,3,14,10,6,5,13,6,3,4,5,3,11,16,16,11,3,16,14,13,13,12,13,12,3,2,7,7,13,16,8,1,15
280,280,Pepe,D (C),FCP,Portuguese Premier League,Portugal (Premier League),POR,188,81,36,Right,D (C),CD,2300000,74000,150,165,10,10,3,11,15,17,13,11,2,2,1,16,8,13,12,1,12,15,18,8,8,16,3,16,17,3,8,8,11,8,2,9,15,15,8,6,15,13,2,3,16,12,17,10,15,3,9
281,281,Ricardo Pereira,D/WB/AM (R),Leicester,English Premier Division,England (Premier Division),POR,175,70,25,Right,D (R),WB,31500000,70000,150,165,16,13,3,14,15,16,10,15,3,2,3,13,12,12,15,1,14,15,12,7,12,7,2,9,6,2,8,13,12,11,3,14,15,12,14,9,12,12,2,3,13,13,14,14,11,1,16
282,282,Rodri,"DM, M (C)",Man City,English Premier Division,England (Premier Division),ESP,191,75,23,Right,DM,DLP,44500000,120000,155,165,15,14,3,14,16,15,13,15,3,1,3,18,8,14,13,1,10,11,12,10,12,11,3,14,13,3,8,9,15,7,3,10,13,16,8,8,15,15,2,3,13,13,16,12,10,2,13
283,283,Rodrigo,"AM (RL), ST (C)",Leeds,English Premier Division,England (Premier Division),ESP,182,77,28,Left,ST (C),AF,41000000,70000,154,165,13,14,3,16,12,9,12,14,2,2,1,9,13,14,17,3,17,14,6,5,13,5,1,14,13,2,12,14,17,13,1,15,13,13,13,11,9,10,3,1,12,13,16,16,12,1,17
284,284,Sander Berge,"DM, M/AM (C)",Sheff Utd,English Premier Division,England (Premier Division),NOR,191,88,21,Right,M (C),DLP,23000000,40000,137,165,14,14,1,15,14,13,15,15,3,1,2,12,12,14,13,1,13,14,11,6,10,11,2,13,12,1,8,10,13,10,2,12,14,13,11,8,14,13,2,1,12,14,14,13,12,2,13
285,285,Santi Cazorla,"M (C), AM (RLC)",Al-Sadd,Qatari Stars League,Qatar (Stars League),ESP,168,65,34,Either,M (C),AP,925000,105000,149,165,12,17,3,18,15,9,9,12,2,3,3,9,16,17,11,3,15,12,8,4,14,11,1,5,4,3,15,17,16,12,1,15,14,15,12,15,12,15,3,3,9,12,16,12,9,2,11
286,286,Sergi Roberto,"D/WB (R), DM, M (RC)",Barcelona,Spanish First Division,Spain (First Division),ESP,178,68,27,Right,M (C),BBM,52000000,165000,160,165,17,15,3,15,17,12,11,17,3,2,2,13,12,14,15,2,15,14,11,10,10,9,2,9,8,1,8,13,14,10,1,13,14,14,13,10,14,15,1,3,13,12,13,12,11,3,15
287,287,Theo HernÃ¡ndez,D/WB/M (L),Milan,Italian Serie A,Italy (Serie A),FRA,184,81,21,Left,D (L),WB,29000000,38000,155,165,14,12,1,13,12,14,14,15,1,3,2,12,9,13,17,2,16,16,12,10,13,12,1,10,9,1,12,12,14,13,2,16,14,12,15,8,12,13,3,3,14,14,13,14,13,1,17
288,288,Thierry Small,D/WB (L),Everton,English Premier Division,England (Premier Division),ENG,177,65,14,Left,D (L),CWB,41000,120,75,165,5,7,2,15,7,10,12,5,4,1,3,12,4,7,15,3,1,13,8,6,7,10,2,11,7,3,2,15,12,10,3,13,12,9,9,2,5,4,3,3,9,12,8,7,6,2,16
289,289,Viktor Fischer,"M (L), AM (LC), ST (C)",FC KÃ¸benhavn,3F Superliga,Denmark (3F Superliga),DEN,181,80,25,Either,M (L),IW,3200000,14500,143,165,14,14,2,15,8,7,11,13,1,3,4,7,12,13,14,2,14,12,6,5,13,14,2,10,8,4,10,15,15,14,3,15,17,12,13,13,9,13,3,3,11,11,16,13,13,1,14
290,290,Wesley Fofana,"D (C), DM",Leicester,English Premier Division,England (Premier Division),FRA,185,76,18,Right,DM,VOL,16250000,57000,138,165,13,12,2,12,12,14,14,14,2,2,1,14,5,12,15,3,12,14,13,8,11,10,3,16,15,2,7,10,12,8,1,11,12,12,9,9,12,12,2,1,13,10,12,13,10,3,13
291,291,Andreas Christensen,"D (C), DM, M (C)",Chelsea,English Premier Division,England (Premier Division),DEN,187,81,23,Right,D (C),BPD,0,80000,147,165,12,10,2,13,15,14,11,13,1,1,1,16,9,14,15,3,10,14,14,12,8,14,4,14,15,2,5,9,12,9,1,10,11,15,10,5,13,15,1,1,10,12,18,11,12,1,12
292,292,Ben Chilwell,D/WB (L),Chelsea,English Premier Division,England (Premier Division),ENG,178,77,22,Left,D (L),WB,0,140000,146,165,16,12,2,13,14,13,12,15,1,4,1,15,11,12,16,3,11,14,14,11,7,12,1,10,12,4,11,11,13,7,3,14,14,12,12,13,13,14,3,4,13,14,14,14,12,2,15
293,293,CÃƒÂ©sar Azpilicueta,"D (RLC), WB (RL)",Chelsea,English Premier Division,England (Premier Division),ESP,178,76,29,Either,D (R),FB,0,150000,150,165,18,10,2,13,17,15,9,17,2,1,1,13,8,11,14,3,12,17,12,11,9,16,1,9,9,3,7,8,11,6,3,8,16,15,15,8,15,14,2,3,16,12,15,13,12,3,12
294,294,N'Golo KantÃƒÂ©,"DM, M (C)",Chelsea,English Premier Division,England (Premier Division),FRA,168,72,28,Right,M (C),BBM,0,300000,165,165,20,14,2,14,20,20,13,20,3,2,2,15,8,13,15,3,15,18,12,6,10,5,3,7,10,2,8,13,12,10,3,11,15,16,12,6,15,14,2,3,15,15,16,14,15,2,16
295,295,Tammy Abraham,ST (C),Chelsea,English Premier Division,England (Premier Division),ENG,194,81,21,Right,ST (C),PF,0,50000,150,165,17,10,3,14,14,6,13,13,2,1,2,10,14,12,15,2,14,16,4,7,11,12,1,15,14,3,8,14,13,16,2,13,15,15,10,6,12,14,1,1,13,15,14,13,14,2,16
296,296,Adrien Rabiot,M (C),Juventus,Italian Serie A,Italy (Serie A),FRA,188,71,24,Left,M (C),DLP,34000000,175000,154,164,13,16,1,15,15,12,14,15,3,1,1,12,12,17,14,2,15,15,10,8,12,12,1,14,13,1,9,13,15,12,1,14,15,15,15,11,13,16,3,3,14,16,14,13,12,3,12
297,297,Ben Godfrey,"D (C), DM",Norwich,Sky Bet Championship,England (Sky Bet Championship),ENG,183,74,21,Right Only,D (C),BPD,12250000,24000,133,164,15,13,4,14,14,15,13,15,1,1,2,14,7,13,15,3,11,15,14,7,12,13,1,12,13,2,5,7,12,9,3,8,14,12,8,5,14,15,4,2,14,13,12,13,12,2,16
298,298,David Brooks,"M (R), AM (RC)",Bournemouth,Sky Bet Championship,England (Sky Bet Championship),WAL,173,65,21,Left,M (R),IW,20000000,55000,135,164,15,15,2,15,11,9,5,12,1,3,1,8,8,14,16,3,15,11,7,4,8,5,1,6,8,1,10,18,14,15,3,16,14,13,10,9,9,13,1,1,6,15,14,16,6,2,15
299,299,Diogo Jota,"AM (LC), ST (C)",Liverpool,English Premier Division,England (Premier Division),POR,178,73,22,Either,AM (L),IW,33500000,76000,147,164,15,12,3,14,10,7,9,13,2,3,3,5,10,13,15,3,16,14,5,4,13,6,1,6,11,3,11,17,14,15,1,16,17,11,12,8,10,13,2,1,14,13,13,16,17,4,16
300,300,FÃ¡bio Silva,ST (C),Wolves,English Premier Division,England (Premier Division),POR,185,75,16,Right,ST (C),AF,5750000,28000,118,164,12,12,1,15,11,5,13,11,1,1,4,5,12,12,13,2,13,12,5,7,10,6,3,13,11,1,7,13,15,13,2,14,15,12,8,8,11,14,1,3,10,12,11,12,11,3,12
301,301,Gaetano Castrovilli,M/AM (C),Fiorentina,Italian Serie A,Italy (Serie A),ITA,179,72,22,Right,M (C),MEZ,11500000,30500,140,164,14,14,1,15,14,13,11,15,2,1,3,12,11,14,13,1,15,15,10,6,14,10,1,10,12,1,12,14,14,13,2,17,15,12,10,12,13,14,2,3,13,13,13,15,14,3,14
302,302,Gianluca Mancini,"D (C), DM",Roma,Italian Serie A,Italy (Serie A),ITA,190,82,23,Right,D (C),BPD,29000000,61000,148,164,15,12,2,12,14,16,14,13,3,3,3,15,5,14,13,1,10,14,15,8,6,12,2,16,16,1,4,8,12,11,2,11,16,14,5,3,14,14,3,3,15,15,16,12,16,3,12
303,303,Hatem Ben Arfa,"AM (RC), ST (C)",Bordeaux,Ligue 1 Conforama,France (Ligue 1 Conforama),FRA,178,74,32,Left,AM (R),IW,4099999,30000,129,164,5,15,1,17,6,1,9,12,2,3,3,1,15,14,14,3,14,13,1,2,14,5,1,7,5,3,14,18,17,12,3,16,6,7,14,14,5,14,1,1,5,14,10,15,5,2,15
304,304,Joshua Zirkzee,ST (C),Parma,Italian Serie A,Italy (Serie A),NED,193,84,18,Right,ST (C),AF,3000000,13250,124,164,8,13,1,14,12,5,14,10,1,2,2,6,13,12,10,1,13,12,5,4,10,7,1,16,10,3,12,13,15,15,3,13,12,10,9,7,10,14,3,3,12,15,14,13,9,3,13
305,305,Josko Gvardiol,D (LC),Dinamo,Croatian First League,Croatia (First League),CRO,186,77,17,Left,D (C),BPD,4200000,5000,129,164,15,12,2,13,14,14,16,14,2,1,3,11,10,14,16,1,11,15,13,12,7,10,1,14,13,3,9,13,13,6,1,11,17,11,9,2,10,15,3,2,17,12,14,10,16,1,14
306,306,Manuel Gasparini,GK,Udinese,Italian Serie A,Italy (Serie A),ITA,190,74,17,Right Only,GK,SK,180000,1300,95,164,12,5,10,7,12,2,10,8,10,14,10,14,3,6,9,12,3,10,1,1,3,12,11,12,5,12,10,2,4,1,4,1,13,11,2,6,12,11,11,11,10,8,12,10,9,11,10
307,307,Marco Kana,"D (C), DM, M (C)",Anderlecht,Belgian Pro League A,Belgium (Pro League A),BEL,179,66,16,Right Only,DM,DLP,1400000,2600,106,164,13,12,3,14,14,14,8,10,1,2,3,11,6,14,13,1,11,15,12,8,12,14,3,10,12,4,9,14,11,8,3,13,15,12,10,10,12,12,3,2,13,10,13,12,14,2,13
308,308,Marco Verratti,"DM, M (C)",Paris SG,Ligue 1 Conforama,France (Ligue 1 Conforama),ITA,165,60,26,Right,M (C),DLP,51000000,240000,161,164,13,18,2,17,17,14,10,13,3,3,3,12,15,18,12,3,13,14,10,6,14,12,4,6,6,3,13,18,18,10,3,16,14,15,17,14,13,17,1,2,15,16,16,15,14,2,12
309,309,Mathieu Bodmer,"DM, M/AM (C)",Amiens SC,Domino's Ligue 2,France (Domino's Ligue 2),FRA,190,90,36,Right,M (C),DLP,100000,4000,115,164,9,13,3,14,14,12,15,12,1,3,4,13,12,15,8,2,8,9,12,7,11,11,1,13,14,2,13,12,14,8,2,10,14,12,12,8,13,14,2,2,14,14,14,10,6,3,8
310,310,Matthijs de Ligt,D (C),Juventus,Italian Serie A,Italy (Serie A),NED,189,89,19,Right,D (C),BPD,53000000,200000,164,164,16,13,1,14,15,16,18,16,2,3,1,14,8,14,14,1,11,13,15,7,13,15,1,15,17,2,10,10,13,9,2,11,16,14,7,6,13,14,4,1,17,14,15,13,13,1,12
311,311,Maximilian Meyer,"M (LC), AM (C)",1. FC KÃ¶ln,Bundesliga,Germany (Bundesliga),GER,169,68,23,Either,AM (C),AP,13750000,80000,132,164,12,15,1,16,14,10,7,13,3,3,1,10,10,14,11,2,12,12,9,3,11,7,2,5,8,2,9,11,16,11,1,12,11,12,12,10,10,13,4,2,11,10,12,16,10,3,13
312,312,Nelson Semedo,D/WB (R),Wolves,English Premier Division,England (Premier Division),POR,177,67,25,Right,D (R),WB,35000000,83000,149,164,15,12,3,15,14,14,13,15,3,2,2,13,8,12,16,3,16,15,11,11,12,6,1,8,7,1,8,14,15,11,3,14,15,11,12,8,12,12,2,1,14,14,14,16,13,3,17
313,313,Nathan Ake,"D (LC), DM",Man City,English Premier Division,England (Premier Division),NED,179,73,24,Left,D (C),BPD,28000000,78000,147,164,16,13,2,15,14,15,14,14,3,4,3,15,2,13,15,3,5,12,14,10,10,14,3,14,15,3,6,6,14,8,2,12,14,12,10,2,12,14,3,3,13,13,14,14,12,1,16
314,314,NicolÃ² Zaniolo,"M (C), AM (RLC)",Roma,Italian Serie A,Italy (Serie A),ITA,187,85,19,Left,AM (R),IW,27500000,77000,151,164,15,13,4,15,11,11,15,13,3,2,1,10,12,14,16,1,16,13,8,3,15,11,2,12,14,3,8,14,13,14,1,17,18,13,12,9,13,14,3,3,17,12,15,13,16,2,13
315,315,Nolito,AM (LC),Vigo,Spanish First Division,Spain (First Division),ESP,175,69,32,Right,AM (L),IW,7250000,55000,139,164,10,13,1,15,12,10,10,14,2,3,3,10,15,13,12,1,16,11,4,6,13,14,2,9,9,3,12,16,15,14,2,15,10,15,12,14,14,14,2,2,13,13,13,14,14,2,13
316,316,Pedro,AM (RLC),Roma,Italian Serie A,Italy (Serie A),ESP,169,66,31,Either,AM (R),IF,32500000,120000,151,164,16,11,2,14,12,8,7,13,2,3,2,6,13,12,14,3,17,13,4,5,15,8,1,6,9,1,10,15,15,15,2,13,16,13,11,12,13,12,2,3,10,14,16,17,14,3,15
317,317,Samir Handanovic,GK,Inter,Italian Serie A,Italy (Serie A),SVN,193,89,34,Right Only,GK,SK,18250000,98000,164,164,13,7,11,8,16,2,13,13,13,20,15,18,3,8,10,17,4,17,3,2,2,15,12,16,8,16,12,9,11,3,8,2,14,16,3,8,13,17,15,15,14,14,15,16,14,14,9
318,318,Samir Nasri,M/AM (RLC),Anderlecht,Belgian Pro League A,Belgium (Pro League A),FRA,177,75,31,Right,AM (C),T,5000000,30000,130,164,5,15,1,17,10,7,8,6,2,3,3,7,12,16,11,1,16,12,5,2,12,10,2,8,5,2,14,17,17,14,2,14,10,14,12,13,8,16,1,2,7,15,13,14,10,2,13
319,319,Yannick Carrasco,"M (L), AM (RL)",A. Madrid,Spanish First Division,Spain (First Division),BEL,180,71,25,Right,AM (L),IW,53000000,200000,153,164,12,15,2,17,10,4,11,13,2,3,1,7,15,14,17,2,16,12,4,6,13,9,3,10,8,2,15,16,14,13,1,17,15,14,13,14,12,14,2,3,10,14,12,14,11,1,16
320,320,Callum Hudson-Odoi,AM (RLC),Chelsea,English Premier Division,England (Premier Division),ENG,177,75,18,Either,AM (L),IW,0,120000,145,164,12,14,2,15,9,5,10,12,3,1,2,9,8,15,15,1,15,12,5,12,8,6,3,8,7,1,12,15,15,9,3,15,10,13,15,10,11,14,2,2,6,12,10,15,7,3,16
321,321,Christian Pulisic,"M (RL), AM (RLC)",Chelsea,English Premier Division,England (Premier Division),USA,172,69,20,Right,M (R),IW,0,150000,150,164,16,14,2,15,15,8,7,14,3,2,2,8,10,12,15,2,15,13,6,5,10,7,2,7,8,2,10,15,16,13,2,16,12,13,11,12,10,10,2,3,9,8,12,17,16,1,17
322,322,Ãlex Grimaldo,D/WB/M (L),SLB,Portuguese Premier League,Portugal (Premier League),ESP,171,65,23,Left,D (L),CWB,22000000,17500,150,163,14,16,1,16,14,14,8,14,3,2,3,11,10,16,14,2,15,12,11,12,14,8,3,6,7,3,13,13,16,8,1,16,14,14,15,12,15,15,2,1,15,14,14,15,14,1,14
323,323,Ãlex Padilla,GK,A. Bilbao,Spanish First Division,Spain (First Division),ESP,186,67,15,Right,GK,G,68000,55,76,163,6,6,13,6,7,1,8,1,9,12,8,9,3,9,9,11,2,11,2,3,2,6,8,16,2,13,8,2,5,1,5,3,11,13,1,6,10,6,10,7,15,7,6,8,9,13,11
324,324,Ãlvaro Odriozola,D (R),R. Madrid,Spanish First Division,Spain (First Division),ESP,175,66,23,Right,D (R),WB,34000000,61000,154,163,16,11,1,15,14,13,12,17,1,1,3,12,11,13,18,2,14,15,13,13,12,9,1,8,9,4,9,11,14,9,1,14,12,13,14,9,14,12,3,2,15,15,14,14,12,1,17
325,325,Aimar Oroz,"M (C), AM (LC)",Osasuna,Spanish First Division,Spain (First Division),ESP,177,70,17,Right,M (C),MEZ,35500,300,98,163,14,14,2,14,11,7,8,9,2,2,3,7,11,13,11,1,13,7,5,6,10,12,3,6,6,2,10,14,13,7,1,12,14,13,10,11,11,9,1,3,5,7,9,13,12,3,11
326,326,Alexandr Golovin,"M (C), AM (LC)",AS Monaco,Ligue 1 Conforama,France (Ligue 1 Conforama),RUS,180,69,23,Right,M (C),MEZ,21000000,46500,147,163,15,16,1,16,15,11,10,13,4,3,3,11,13,15,14,2,13,13,10,3,13,11,2,10,7,3,13,15,15,12,2,16,15,12,13,14,13,11,3,2,12,14,13,15,12,2,14
327,327,Amad Traore,"AM (RL), ST (C)",Man Utd,English Premier Division,England (Premier Division),CIV,174,68,16,Left,AM (R),IW,1500000,33000,116,163,11,12,1,15,8,3,6,11,3,3,3,5,8,12,12,2,13,15,4,2,11,8,4,7,6,1,10,16,13,11,1,14,17,11,11,8,10,11,3,1,7,13,12,15,7,2,14
328,328,Bernd Leno,GK,Arsenal,English Premier Division,England (Premier Division),GER,190,83,27,Right,GK,SK,29000000,100000,151,163,10,7,12,9,16,1,12,12,16,17,13,13,3,10,10,17,6,14,3,2,1,9,15,14,6,16,11,2,10,1,8,3,14,13,3,8,14,13,12,14,14,14,16,16,8,13,12
329,329,Blaise Matuidi,"DM, M (LC)",Juventus,Italian Serie A,Italy (Serie A),FRA,180,75,32,Left,M (C),BWM,22500000,105000,155,163,20,11,3,12,20,15,16,17,3,2,1,17,9,14,14,2,16,16,15,5,12,13,3,10,12,1,6,8,13,10,2,12,18,13,11,4,18,15,1,2,20,17,15,11,18,1,15
330,330,Breel Embolo,"M (R), AM (RC), ST (C)",Borussia M'gladbach,Bundesliga,Germany (Bundesliga),SUI,184,84,22,Right,ST (C),PF,6000000,41500,133,163,17,13,3,12,15,9,16,12,2,2,2,9,13,12,15,2,15,14,7,8,11,7,4,12,11,3,8,15,14,13,2,13,15,10,10,8,9,12,1,3,17,17,11,13,16,2,13
331,331,Ciro Immobile,ST (C),Lazio,Italian Serie A,Italy (Serie A),ITA,185,85,29,Right,ST (C),PF,49000000,77000,159,163,18,14,1,13,16,8,12,15,1,2,2,4,19,12,15,3,19,17,3,3,11,15,2,11,15,4,4,11,13,19,1,12,19,15,5,4,13,17,2,1,17,16,17,13,15,4,14
332,332,Claudio Pizarro,ST (C),Unknown,Unknown,Germany,PER,187,86,40,Right,ST (C),DLF,0,0,128,163,7,14,3,15,12,5,13,8,1,3,1,6,14,13,8,2,15,13,5,4,12,12,1,14,17,3,11,15,16,15,1,11,16,16,10,8,15,18,1,3,13,14,17,9,7,1,7
333,333,Dani Ceballos,M/AM (C),Arsenal,English Premier Division,England (Premier Division),ESP,179,71,22,Right,M (C),MEZ,17000000,130000,142,163,15,15,1,16,13,10,10,13,1,1,3,12,10,16,13,1,12,11,8,14,13,11,1,8,7,1,11,12,15,13,2,15,12,13,10,7,12,12,2,3,15,10,13,14,13,1,15
334,334,Donyell Malen,"AM (RL), ST (C)",PSV,Eredivisie,Holland (Eredivisie),NED,176,68,20,Right,ST (C),AF,9000000,3000,135,163,12,9,3,13,12,6,11,14,2,2,3,5,14,11,16,1,12,12,5,4,10,5,1,9,11,1,8,13,13,14,1,13,12,11,8,8,12,13,2,2,12,13,12,16,11,2,16
335,335,Fiete Arp,ST (C),FC Bayern II,3. Liga,Germany (3. Liga),GER,184,78,19,Right,ST (C),AF,2000000,83000,119,163,13,12,1,12,15,6,11,11,2,3,3,8,14,11,14,1,15,14,7,4,13,9,1,11,9,2,10,10,15,16,2,13,11,13,8,5,9,12,2,2,14,13,14,12,12,2,12
